index,result,time,csm_result,csm_time
chc-lia-lin-arr-0000.smt2,unsat,0.20,unsat,0.75
chc-lia-lin-arr-0001.smt2,unsat,0.03,unsat,0.05
chc-lia-lin-arr-0002.smt2,unsat,0.01,unsat,0.02
chc-lia-lin-arr-0003.smt2,unsat,0.05,unsat,0.12
chc-lia-lin-arr-0004.smt2,unsat,0.04,unsat,0.07
chc-lia-lin-arr-0005.smt2,unsat,0.05,unsat,0.09
chc-lia-lin-arr-0006.smt2,unsat,0.03,unsat,0.05
chc-lia-lin-arr-0007.smt2,unsat,0.05,unsat,0.07
chc-lia-lin-arr-0008.smt2,unsat,0.05,unsat,0.13
chc-lia-lin-arr-0009.smt2,unsat,0.09,unsat,0.19
chc-lia-lin-arr-0010.smt2,unsat,0.07,unsat,0.11
chc-lia-lin-arr-0011.smt2,timeout,927.52,timeout,928.54
chc-lia-lin-arr-0012.smt2,timeout,928.41,timeout,928.30
chc-lia-lin-arr-0013.smt2,unsat,0.07,unsat,0.23
chc-lia-lin-arr-0014.smt2,timeout,919.99,unknown,80.73
chc-lia-lin-arr-0015.smt2,timeout,922.54,timeout,923.54
chc-lia-lin-arr-0016.smt2,timeout,926.47,timeout,929.10
chc-lia-lin-arr-0017.smt2,timeout,927.28,timeout,928.95
chc-lia-lin-arr-0018.smt2,timeout,925.48,timeout,926.31
chc-lia-lin-arr-0019.smt2,timeout,921.58,timeout,924.80
chc-lia-lin-arr-0020.smt2,timeout,925.91,timeout,927.90
chc-lia-lin-arr-0021.smt2,unsat,0.03,unsat,0.05
chc-lia-lin-arr-0022.smt2,unsat,0.06,unsat,0.10
chc-lia-lin-arr-0023.smt2,timeout,927.02,timeout,928.27
chc-lia-lin-arr-0024.smt2,timeout,925.48,timeout,927.48
chc-lia-lin-arr-0025.smt2,timeout,925.98,timeout,927.40
chc-lia-lin-arr-0026.smt2,timeout,926.65,timeout,927.39
chc-lia-lin-arr-0027.smt2,unsat,0.06,unsat,0.08
chc-lia-lin-arr-0028.smt2,timeout,927.16,timeout,927.56
chc-lia-lin-arr-0029.smt2,timeout,926.19,timeout,928.63
chc-lia-lin-arr-0030.smt2,timeout,926.68,timeout,928.10
chc-lia-lin-arr-0031.smt2,timeout,927.87,timeout,928.52
chc-lia-lin-arr-0032.smt2,timeout,928.62,timeout,928.70
chc-lia-lin-arr-0033.smt2,timeout,928.58,timeout,929.48
chc-lia-lin-arr-0034.smt2,timeout,925.97,timeout,929.50
chc-lia-lin-arr-0035.smt2,unsat,0.03,unsat,0.05
chc-lia-lin-arr-0036.smt2,timeout,927.90,timeout,928.59
chc-lia-lin-arr-0037.smt2,timeout,927.32,timeout,927.64
chc-lia-lin-arr-0038.smt2,timeout,926.72,timeout,925.47
chc-lia-lin-arr-0039.smt2,timeout,925.95,timeout,929.79
chc-lia-lin-arr-0040.smt2,timeout,925.17,timeout,927.80
chc-lia-lin-arr-0041.smt2,timeout,923.50,timeout,924.83
chc-lia-lin-arr-0042.smt2,timeout,925.46,timeout,926.76
chc-lia-lin-arr-0043.smt2,timeout,928.72,timeout,928.90
chc-lia-lin-arr-0044.smt2,timeout,929.03,timeout,928.99
chc-lia-lin-arr-0045.smt2,timeout,926.28,timeout,926.48
chc-lia-lin-arr-0046.smt2,,,,
chc-lia-lin-arr-0047.smt2,timeout,921.59,timeout,925.79
chc-lia-lin-arr-0048.smt2,timeout,923.58,timeout,925.85
chc-lia-lin-arr-0049.smt2,timeout,920.97,timeout,927.58
chc-lia-lin-arr-0050.smt2,sat,0.00,sat,0.00
chc-lia-lin-arr-0051.smt2,sat,0.00,sat,0.00
chc-lia-lin-arr-0052.smt2,timeout,924.03,timeout,926.31
chc-lia-lin-arr-0053.smt2,timeout,928.31,timeout,928.88
chc-lia-lin-arr-0054.smt2,sat,0.00,sat,0.00
chc-lia-lin-arr-0055.smt2,timeout,924.94,timeout,925.53
chc-lia-lin-arr-0056.smt2,sat,0.00,sat,0.00
chc-lia-lin-arr-0057.smt2,timeout,925.00,timeout,925.81
chc-lia-lin-arr-0058.smt2,timeout,921.33,timeout,926.81
chc-lia-lin-arr-0059.smt2,sat,0.03,sat,0.04
chc-lia-lin-arr-0060.smt2,timeout,920.72,timeout,924.47
chc-lia-lin-arr-0061.smt2,sat,0.00,sat,0.00
chc-lia-lin-arr-0062.smt2,timeout,926.61,timeout,928.12
chc-lia-lin-arr-0063.smt2,sat,0.00,sat,0.00
chc-lia-lin-arr-0064.smt2,timeout,923.44,timeout,927.29
chc-lia-lin-arr-0065.smt2,timeout,926.56,timeout,926.61
chc-lia-lin-arr-0066.smt2,timeout,922.59,timeout,925.24
chc-lia-lin-arr-0067.smt2,timeout,927.36,timeout,926.68
chc-lia-lin-arr-0068.smt2,timeout,927.10,timeout,928.88
chc-lia-lin-arr-0069.smt2,timeout,922.79,timeout,926.57
chc-lia-lin-arr-0070.smt2,sat,0.06,sat,0.07
chc-lia-lin-arr-0071.smt2,timeout,926.23,timeout,927.23
chc-lia-lin-arr-0072.smt2,timeout,921.95,timeout,925.56
chc-lia-lin-arr-0073.smt2,sat,0.06,sat,0.06
chc-lia-lin-arr-0074.smt2,sat,0.07,sat,0.09
chc-lia-lin-arr-0075.smt2,timeout,921.73,timeout,925.16
chc-lia-lin-arr-0076.smt2,timeout,926.77,timeout,927.60
chc-lia-lin-arr-0077.smt2,timeout,925.44,timeout,926.56
chc-lia-lin-arr-0078.smt2,timeout,921.86,timeout,924.23
chc-lia-lin-arr-0079.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0080.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0081.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0082.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0083.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-arr-0084.smt2,timeout,921.72,timeout,925.42
chc-lia-lin-arr-0085.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0086.smt2,timeout,925.07,timeout,924.55
chc-lia-lin-arr-0087.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0088.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0089.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0090.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0091.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0092.smt2,timeout,924.65,timeout,924.12
chc-lia-lin-arr-0093.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0094.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0095.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-arr-0096.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0097.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-arr-0098.smt2,sat,0.01,sat,0.02
chc-lia-lin-arr-0099.smt2,sat,21.18,sat,61.26
chc-lia-lin-arr-0100.smt2,unsat,58.42,unsat,106.08
chc-lia-lin-arr-0101.smt2,sat,0.01,sat,0.02
chc-lia-lin-arr-0102.smt2,sat,0.01,sat,0.02
chc-lia-lin-arr-0103.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0104.smt2,timeout,925.02,timeout,922.31
chc-lia-lin-arr-0105.smt2,sat,0.02,sat,0.02
chc-lia-lin-arr-0106.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-arr-0107.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-arr-0108.smt2,unsat,232.69,unsat,857.51
chc-lia-lin-arr-0109.smt2,unsat,460.38,unsat,770.02
chc-lia-lin-arr-0110.smt2,sat,0.02,sat,0.02
chc-lia-lin-arr-0111.smt2,sat,0.02,sat,0.02
chc-lia-lin-arr-0112.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0113.smt2,sat,0.01,sat,0.02
chc-lia-lin-arr-0114.smt2,sat,0.02,sat,0.02
chc-lia-lin-arr-0115.smt2,timeout,921.35,timeout,922.54
chc-lia-lin-arr-0116.smt2,timeout,920.64,timeout,922.56
chc-lia-lin-arr-0117.smt2,unsat,0.06,unsat,0.11
chc-lia-lin-arr-0118.smt2,timeout,921.34,timeout,927.74
chc-lia-lin-arr-0119.smt2,sat,0.01,sat,0.02
chc-lia-lin-arr-0120.smt2,sat,0.01,sat,0.02
chc-lia-lin-arr-0121.smt2,timeout,924.33,timeout,925.05
chc-lia-lin-arr-0122.smt2,sat,0.01,sat,0.01
chc-lia-lin-arr-0123.smt2,timeout,921.34,timeout,923.66
chc-lia-lin-arr-0124.smt2,timeout,921.16,timeout,923.51
chc-lia-lin-arr-0125.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-arr-0126.smt2,sat,0.04,sat,0.05
chc-lia-lin-arr-0127.smt2,timeout,929.96,timeout,929.97
chc-lia-lin-arr-0128.smt2,timeout,928.78,timeout,925.72
chc-lia-lin-arr-0129.smt2,timeout,920.97,timeout,921.80
chc-lia-lin-arr-0130.smt2,timeout,921.82,timeout,924.72
chc-lia-lin-arr-0131.smt2,sat,0.01,sat,0.02
chc-lia-lin-arr-0132.smt2,sat,0.01,sat,0.02
chc-lia-lin-arr-0133.smt2,timeout,921.76,timeout,927.15
chc-lia-lin-arr-0134.smt2,timeout,921.42,timeout,924.50
chc-lia-lin-arr-0135.smt2,timeout,922.30,timeout,924.68
chc-lia-lin-arr-0136.smt2,timeout,922.13,timeout,923.95
chc-lia-lin-arr-0137.smt2,timeout,922.28,timeout,924.06
chc-lia-lin-arr-0138.smt2,sat,28.81,sat,0.08
chc-lia-lin-arr-0139.smt2,timeout,921.80,timeout,923.24
chc-lia-lin-arr-0140.smt2,timeout,928.26,timeout,930.00
chc-lia-lin-arr-0141.smt2,timeout,924.43,timeout,924.50
chc-lia-lin-arr-0142.smt2,unsat,0.22,timeout,929.96
chc-lia-lin-arr-0143.smt2,sat,0.05,sat,0.06
chc-lia-lin-arr-0144.smt2,timeout,924.17,timeout,924.49
chc-lia-lin-arr-0145.smt2,timeout,923.43,timeout,924.01
chc-lia-lin-arr-0146.smt2,timeout,921.95,timeout,926.10
chc-lia-lin-arr-0147.smt2,timeout,923.55,timeout,925.89
chc-lia-lin-arr-0148.smt2,timeout,926.85,timeout,926.31
chc-lia-lin-arr-0149.smt2,timeout,922.95,timeout,923.41
chc-lia-lin-arr-0150.smt2,timeout,922.54,timeout,923.51
chc-lia-lin-arr-0151.smt2,timeout,923.33,timeout,923.74
chc-lia-lin-arr-0152.smt2,timeout,923.48,timeout,925.01
chc-lia-lin-arr-0153.smt2,timeout,923.56,timeout,925.09
chc-lia-lin-arr-0154.smt2,timeout,923.48,timeout,924.70
chc-lia-lin-arr-0155.smt2,timeout,922.87,timeout,924.31
chc-lia-lin-arr-0156.smt2,sat,0.08,sat,0.11
chc-lia-lin-arr-0157.smt2,unsat,0.08,unsat,0.10
chc-lia-lin-arr-0158.smt2,timeout,923.72,timeout,925.12
chc-lia-lin-arr-0159.smt2,timeout,923.25,timeout,923.53
chc-lia-lin-arr-0160.smt2,timeout,923.00,timeout,923.65
chc-lia-lin-arr-0161.smt2,timeout,922.21,timeout,925.98
chc-lia-lin-arr-0162.smt2,timeout,922.05,timeout,922.09
chc-lia-lin-arr-0163.smt2,timeout,930.02,timeout,930.01
chc-lia-lin-arr-0164.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-arr-0165.smt2,sat,0.02,sat,0.02
chc-lia-lin-arr-0166.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-arr-0167.smt2,timeout,923.50,timeout,921.76
chc-lia-lin-arr-0168.smt2,timeout,923.19,timeout,920.65
chc-lia-lin-arr-0169.smt2,timeout,922.84,timeout,927.13
chc-lia-lin-arr-0170.smt2,timeout,922.66,timeout,920.36
chc-lia-lin-arr-0171.smt2,timeout,922.01,timeout,927.16
chc-lia-lin-arr-0172.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-arr-0173.smt2,timeout,922.63,timeout,924.86
chc-lia-lin-arr-0174.smt2,timeout,922.66,timeout,924.85
chc-lia-lin-arr-0175.smt2,timeout,930.02,timeout,930.02
chc-lia-lin-arr-0176.smt2,timeout,920.76,timeout,924.69
chc-lia-lin-arr-0177.smt2,timeout,922.17,timeout,925.68
chc-lia-lin-arr-0178.smt2,timeout,922.09,timeout,923.01
chc-lia-lin-arr-0179.smt2,timeout,921.72,timeout,923.04
chc-lia-lin-arr-0180.smt2,timeout,922.28,timeout,923.86
chc-lia-lin-arr-0181.smt2,unsat,0.32,unsat,0.54
chc-lia-lin-arr-0182.smt2,timeout,921.70,timeout,923.60
chc-lia-lin-arr-0183.smt2,timeout,922.50,timeout,925.33
chc-lia-lin-arr-0184.smt2,timeout,922.60,timeout,923.21
chc-lia-lin-arr-0185.smt2,timeout,922.32,timeout,923.23
chc-lia-lin-arr-0186.smt2,timeout,921.86,timeout,923.65
chc-lia-lin-arr-0187.smt2,timeout,922.24,timeout,924.90
chc-lia-lin-arr-0188.smt2,timeout,922.44,timeout,924.51
chc-lia-lin-arr-0189.smt2,timeout,923.30,timeout,927.23
chc-lia-lin-arr-0190.smt2,timeout,923.43,timeout,925.71
chc-lia-lin-arr-0191.smt2,timeout,922.82,timeout,922.62
chc-lia-lin-arr-0192.smt2,timeout,922.99,timeout,922.65
chc-lia-lin-arr-0193.smt2,timeout,922.65,timeout,924.13
chc-lia-lin-arr-0194.smt2,timeout,922.25,timeout,921.06
chc-lia-lin-arr-0195.smt2,timeout,923.19,timeout,923.54
chc-lia-lin-arr-0196.smt2,timeout,922.65,timeout,923.39
chc-lia-lin-arr-0197.smt2,timeout,922.87,timeout,927.54
chc-lia-lin-arr-0198.smt2,timeout,922.49,timeout,927.34
chc-lia-lin-arr-0199.smt2,timeout,924.37,timeout,927.42
chc-lia-lin-arr-0200.smt2,timeout,924.31,timeout,920.91
chc-lia-lin-arr-0201.smt2,timeout,924.90,timeout,926.40
chc-lia-lin-arr-0202.smt2,timeout,922.89,timeout,921.24
chc-lia-lin-arr-0203.smt2,timeout,922.63,unknown,48.26
chc-lia-lin-arr-0204.smt2,timeout,922.11,timeout,920.26
chc-lia-lin-arr-0205.smt2,timeout,922.27,timeout,925.58
chc-lia-lin-arr-0206.smt2,timeout,922.28,timeout,923.16
chc-lia-lin-arr-0207.smt2,timeout,922.32,timeout,922.97
chc-lia-lin-arr-0208.smt2,unsat,0.08,unsat,0.09
chc-lia-lin-arr-0209.smt2,timeout,921.87,timeout,924.98
chc-lia-lin-arr-0210.smt2,timeout,922.97,timeout,924.31
chc-lia-lin-arr-0211.smt2,timeout,922.03,timeout,924.26
chc-lia-lin-arr-0212.smt2,timeout,922.25,timeout,923.90
chc-lia-lin-arr-0213.smt2,timeout,922.77,timeout,926.16
chc-lia-lin-arr-0214.smt2,timeout,924.99,timeout,929.87
chc-lia-lin-arr-0215.smt2,timeout,923.68,timeout,925.97
chc-lia-lin-arr-0216.smt2,timeout,925.87,timeout,924.74
chc-lia-lin-arr-0217.smt2,timeout,925.74,timeout,924.23
chc-lia-lin-arr-0218.smt2,unsat,0.26,unsat,0.23
chc-lia-lin-arr-0219.smt2,timeout,930.01,timeout,929.95
chc-lia-lin-arr-0220.smt2,timeout,922.96,timeout,924.64
chc-lia-lin-arr-0221.smt2,timeout,922.96,timeout,925.69
chc-lia-lin-arr-0222.smt2,timeout,922.13,timeout,923.01
chc-lia-lin-arr-0223.smt2,sat,0.13,sat,0.17
chc-lia-lin-arr-0224.smt2,timeout,922.37,timeout,924.43
chc-lia-lin-arr-0225.smt2,timeout,926.30,timeout,921.13
chc-lia-lin-arr-0226.smt2,timeout,926.05,timeout,922.06
chc-lia-lin-arr-0227.smt2,timeout,929.71,timeout,922.96
chc-lia-lin-arr-0228.smt2,timeout,924.10,timeout,921.22
chc-lia-lin-arr-0229.smt2,timeout,925.52,timeout,930.02
chc-lia-lin-arr-0230.smt2,timeout,927.59,timeout,929.96
chc-lia-lin-arr-0231.smt2,timeout,922.58,timeout,929.93
chc-lia-lin-arr-0232.smt2,timeout,923.21,timeout,929.94
chc-lia-lin-arr-0233.smt2,timeout,922.19,timeout,930.02
chc-lia-lin-arr-0234.smt2,timeout,921.57,timeout,930.02
chc-lia-lin-arr-0235.smt2,timeout,922.29,timeout,930.02
chc-lia-lin-arr-0236.smt2,timeout,922.48,timeout,930.02
chc-lia-lin-arr-0237.smt2,sat,0.34,sat,0.44
chc-lia-lin-arr-0238.smt2,unsat,0.51,unsat,0.49
chc-lia-lin-arr-0239.smt2,sat,0.14,sat,0.17
chc-lia-lin-arr-0240.smt2,timeout,922.06,unsat,139.65
chc-lia-lin-arr-0241.smt2,timeout,921.36,unsat,56.00
chc-lia-lin-arr-0242.smt2,timeout,922.03,unsat,46.23
chc-lia-lin-arr-0243.smt2,timeout,922.66,timeout,925.32
chc-lia-lin-arr-0244.smt2,timeout,922.58,timeout,922.35
chc-lia-lin-arr-0245.smt2,timeout,922.65,timeout,925.39
chc-lia-lin-arr-0246.smt2,timeout,922.88,timeout,926.16
chc-lia-lin-arr-0247.smt2,timeout,922.65,timeout,921.79
chc-lia-lin-arr-0248.smt2,timeout,923.01,timeout,923.08
chc-lia-lin-arr-0249.smt2,timeout,922.62,timeout,926.51
chc-lia-lin-arr-0250.smt2,timeout,922.99,timeout,925.67
chc-lia-lin-arr-0251.smt2,timeout,922.78,timeout,922.76
chc-lia-lin-arr-0252.smt2,sat,0.03,sat,0.05
chc-lia-lin-arr-0253.smt2,sat,0.36,sat,1.02
chc-lia-lin-arr-0254.smt2,timeout,925.41,timeout,929.54
chc-lia-lin-arr-0255.smt2,timeout,929.50,unknown,341.90
chc-lia-lin-arr-0256.smt2,sat,24.16,sat,35.43
chc-lia-lin-arr-0257.smt2,timeout,922.93,timeout,925.42
chc-lia-lin-arr-0258.smt2,timeout,923.08,timeout,922.62
chc-lia-lin-arr-0259.smt2,timeout,929.95,timeout,930.02
chc-lia-lin-arr-0260.smt2,timeout,923.24,sat,0.86
chc-lia-lin-arr-0261.smt2,timeout,929.89,timeout,930.02
chc-lia-lin-arr-0262.smt2,unsat,0.22,timeout,921.24
chc-lia-lin-arr-0263.smt2,unsat,0.38,unsat,0.34
chc-lia-lin-arr-0264.smt2,timeout,925.93,timeout,923.46
chc-lia-lin-arr-0265.smt2,timeout,925.91,timeout,923.46
chc-lia-lin-arr-0266.smt2,timeout,925.71,timeout,923.31
chc-lia-lin-arr-0267.smt2,timeout,925.61,timeout,920.38
chc-lia-lin-arr-0268.smt2,timeout,926.47,unsat,99.19
chc-lia-lin-arr-0269.smt2,timeout,922.15,timeout,925.37
chc-lia-lin-arr-0270.smt2,sat,0.39,sat,0.51
chc-lia-lin-arr-0271.smt2,timeout,922.13,timeout,925.23
chc-lia-lin-arr-0272.smt2,timeout,920.99,timeout,921.55
chc-lia-lin-arr-0273.smt2,timeout,920.95,timeout,921.61
chc-lia-lin-arr-0274.smt2,timeout,925.95,timeout,927.15
chc-lia-lin-arr-0275.smt2,timeout,929.32,sat,1.24
chc-lia-lin-arr-0276.smt2,timeout,924.20,timeout,922.36
chc-lia-lin-arr-0277.smt2,timeout,924.31,timeout,922.29
chc-lia-lin-arr-0278.smt2,timeout,924.35,timeout,921.63
chc-lia-lin-arr-0279.smt2,timeout,921.62,timeout,922.90
chc-lia-lin-arr-0280.smt2,timeout,922.01,timeout,924.42
chc-lia-lin-arr-0281.smt2,sat,0.12,sat,0.14
chc-lia-lin-arr-0282.smt2,sat,0.98,sat,1.42
chc-lia-lin-arr-0283.smt2,timeout,921.12,timeout,921.02
chc-lia-lin-arr-0284.smt2,unsat,0.60,unsat,0.69
chc-lia-lin-arr-0285.smt2,timeout,922.34,timeout,922.90
chc-lia-lin-arr-0286.smt2,timeout,922.05,timeout,921.25
chc-lia-lin-arr-0287.smt2,timeout,927.56,timeout,928.35
chc-lia-lin-arr-0288.smt2,timeout,922.00,timeout,925.73
chc-lia-lin-arr-0289.smt2,unsat,0.19,unsat,0.25
chc-lia-lin-arr-0290.smt2,timeout,922.12,timeout,923.80
chc-lia-lin-arr-0291.smt2,unsat,0.83,unsat,0.87
chc-lia-lin-arr-0292.smt2,unsat,0.50,unsat,0.46
chc-lia-lin-arr-0293.smt2,unsat,0.91,unsat,1.05
chc-lia-lin-arr-0294.smt2,sat,1.41,sat,1.57
chc-lia-lin-arr-0295.smt2,timeout,922.59,timeout,923.00
chc-lia-lin-arr-0296.smt2,timeout,922.65,timeout,923.25
chc-lia-lin-arr-0297.smt2,sat,2.01,sat,2.53
chc-lia-lin-arr-0298.smt2,timeout,928.21,timeout,928.01
chc-lia-lin-arr-0299.smt2,sat,0.25,sat,0.31
chc-lia-lin-arr-0300.smt2,timeout,930.01,timeout,929.94
chc-lia-lin-arr-0301.smt2,, ,,
chc-lia-lin-arr-0302.smt2,timeout,923.43,timeout,922.42
chc-lia-lin-arr-0303.smt2,sat,1.44,sat,2.63
chc-lia-lin-arr-0304.smt2,timeout,925.79,timeout,925.86
chc-lia-lin-arr-0305.smt2,timeout,929.99,timeout,929.99
chc-lia-lin-arr-0306.smt2,timeout,928.34,timeout,927.54
chc-lia-lin-arr-0307.smt2,timeout,922.57,timeout,923.18
chc-lia-lin-arr-0308.smt2,sat,0.35,sat,0.41
chc-lia-lin-arr-0309.smt2,sat,45.72,sat,4.03
chc-lia-lin-arr-0310.smt2,unsat,3.56,unsat,3.46
chc-lia-lin-arr-0311.smt2,unsat,0.53,unsat,0.73
chc-lia-lin-arr-0312.smt2,sat,0.55,sat,0.89
chc-lia-lin-arr-0313.smt2,sat,4.08,sat,0.87
chc-lia-lin-arr-0314.smt2,timeout,928.07,timeout,927.79
chc-lia-lin-arr-0315.smt2,unsat,19.86,timeout,926.16
chc-lia-lin-arr-0316.smt2,unsat,1.41,unsat,3.09
chc-lia-lin-arr-0317.smt2,sat,28.12,sat,38.44
chc-lia-lin-arr-0318.smt2,unsat,6.92,unsat,12.20
chc-lia-lin-arr-0319.smt2,unsat,0.84,unsat,1.23
chc-lia-lin-arr-0320.smt2,unsat,0.89,unsat,0.97
chc-lia-lin-arr-0321.smt2,unsat,0.80,unsat,1.74
chc-lia-lin-arr-0322.smt2,timeout,928.13,timeout,928.12
chc-lia-lin-arr-0323.smt2,unsat,1.13,unsat,1.19
chc-lia-lin-arr-0324.smt2,unsat,2.94,unsat,3.22
chc-lia-lin-arr-0325.smt2,unsat,4.24,unsat,6.35
chc-lia-lin-arr-0326.smt2,timeout,928.45,timeout,928.40
chc-lia-lin-arr-0327.smt2,timeout,922.27,timeout,921.59
chc-lia-lin-arr-0328.smt2,timeout,929.10,timeout,929.29
chc-lia-lin-arr-0329.smt2,sat,2.19,sat,3.34
chc-lia-lin-arr-0330.smt2,sat,1.26,sat,1.99
chc-lia-lin-arr-0331.smt2,unsat,11.93,unsat,7.54
chc-lia-lin-arr-0332.smt2,unsat,3.01,unsat,3.71
chc-lia-lin-arr-0333.smt2,unsat,8.04,unsat,7.59
chc-lia-lin-arr-0334.smt2,sat,4.10,sat,5.38
chc-lia-lin-arr-0335.smt2,unsat,0.44,unsat,0.51
chc-lia-lin-arr-0336.smt2,sat,0.85,sat,1.03
chc-lia-lin-arr-0337.smt2,timeout,928.22,timeout,928.80
chc-lia-lin-arr-0338.smt2,timeout,928.33,timeout,928.93
chc-lia-lin-arr-0339.smt2,sat,2.90,sat,3.43
chc-lia-lin-arr-0340.smt2,sat,198.99,sat,6.61
chc-lia-lin-arr-0341.smt2,unsat,1.95,unsat,2.86
chc-lia-lin-arr-0342.smt2,sat,693.74,sat,71.46
chc-lia-lin-arr-0343.smt2,sat,37.77,sat,21.15
chc-lia-lin-arr-0344.smt2,unsat,3.38,unsat,4.23
chc-lia-lin-arr-0345.smt2,unsat,2.10,unsat,2.55
chc-lia-lin-arr-0346.smt2,unsat,3.39,unsat,4.23
chc-lia-lin-arr-0347.smt2,unsat,3.70,unsat,4.50
chc-lia-lin-arr-0348.smt2,sat,6.47,sat,5.74
chc-lia-lin-arr-0349.smt2,timeout,928.68,timeout,928.31
chc-lia-lin-arr-0350.smt2,sat,1.02,sat,1.28
chc-lia-lin-arr-0351.smt2,sat,5.02,sat,6.02
chc-lia-lin-arr-0352.smt2,timeout,925.13,timeout,926.53
chc-lia-lin-arr-0353.smt2,timeout,923.82,timeout,925.23
chc-lia-lin-arr-0354.smt2,timeout,929.43,sat,26.95
chc-lia-lin-arr-0355.smt2,timeout,928.51,timeout,923.07
chc-lia-lin-arr-0356.smt2,timeout,928.97,timeout,929.45
chc-lia-lin-arr-0357.smt2,timeout,922.90,timeout,923.20
chc-lia-lin-arr-0358.smt2,timeout,922.87,timeout,920.68
chc-lia-lin-arr-0359.smt2,timeout,929.95,timeout,929.96
chc-lia-lin-arr-0360.smt2,unsat,1.69,unsat,1.96
chc-lia-lin-arr-0361.smt2,unsat,1.79,unsat,2.05
